n,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,Merge Sort
186,26700,22300,12900,8500,18700
187,25800,146200,12400,9300,19700
188,27200,26600,12400,8000,18600
189,28300,117500,14500,14200,24400
190,1157800,32600,16000,10900,25200
191,28300,32200,16300,9300,21800
192,28000,111000,15800,11000,23000
193,28300,54200,14000,10200,20500
194,30300,32700,15600,9500,20900
195,28400,27600,13900,9500,20400
196,35300,111200,13600,9300,20300
197,26100,25900,13100,8400,20000
198,26700,27600,11900,8200,21400
199,42500,89400,14000,9300,21400
200,27100,32600,14100,8900,20000
201,26300,27200,13600,9200,19800
202,27400,32200,15200,9300,20200
203,27100,99800,15800,15500,20600
204,28400,23600,17000,9000,19100
205,27700,24800,13600,9100,19300
206,26700,6200,15300,10200,24600
207,29300,4500,106200,10200,23000
208,29000,5400,16100,9400,71600
209,58300,5200,14800,9900,21100
210,47200,4800,14100,9100,20300
211,27500,5100,116100,9500,44900
212,24300,4300,12000,8200,16200
213,23200,4000,11800,7300,16800
214,23300,4200,11300,7500,15200
215,23200,4300,11800,7900,27600
216,23800,4200,12000,7900,15300
217,24100,4100,12100,7900,14300
218,25200,4500,11600,22800,21900
219,28300,5200,100600,9800,41000
220,25000,4700,12200,8600,18200
221,24600,4400,12000,8000,15500
222,24400,4500,12700,8200,15600
223,37200,4300,12700,8600,76100
224,27300,4800,12400,8400,16900
225,24600,4200,12500,7900,16400
226,30900,5400,14600,9900,81000
227,25700,4400,11700,8200,18100
228,26200,4200,12500,8400,17000
229,26000,4200,15400,8400,16000
230,47700,4800,14100,20300,18700
231,45100,5300,13400,9200,17700
232,26200,4700,14100,8400,58000
233,27300,4900,15400,8800,17600
234,25500,4500,12900,8400,17800
235,24100,4200,14400,8800,18600
236,25100,4700,13200,8600,19000
237,27100,4400,13900,8800,17900
238,26200,4500,12400,9000,20500
239,25400,16900,13400,9300,18200
240,26200,4600,12500,9000,18400
241,27400,5000,13200,8900,16100
242,24700,4700,13900,8200,15900
243,26800,4600,13400,8100,16200
244,25800,5100,13200,7900,17100
245,25400,4700,13900,8500,15900
246,26400,4800,14500,8600,16200
247,26300,4900,13900,8400,18500
248,26100,4400,13500,8500,16000
249,26900,20900,13300,8500,17000
250,26100,5000,12800,8500,16100
251,25600,4700,13500,8500,15900
252,26800,4700,13200,8200,18700
253,26200,4700,13900,8600,15800
254,25300,5000,13100,8300,15800
255,26900,4800,13900,8200,16500
256,26900,4900,13400,9800,18300
257,25700,4800,13000,8600,19600
258,25600,4600,35200,8500,18100
259,24800,5100,15700,8900,18700
260,27100,4300,13300,8900,19200
261,25600,4400,13500,8200,17400
262,24000,6600,14400,10200,21600
263,27000,4500,15200,9300,19500
264,27900,5500,16000,9900,44500
265,24600,4300,12200,8800,22100
266,24900,4800,12400,7800,17400
267,25800,4800,12600,8000,16400
268,25300,5000,14200,10600,17500
269,229100,4600,14700,9700,19700
270,27700,5300,14900,9600,19100
271,26400,4400,14100,8400,17500
272,25600,4900,13700,7800,17100
273,31700,5300,13000,9000,18200
274,25400,4900,13600,9400,17500
275,26100,5100,13000,8800,16500
276,27000,4300,13000,23100,23900
277,26600,5100,15700,10100,19100
278,46000,5600,12800,9400,46100
279,28200,5300,14900,10000,20000
280,27100,5100,19700,9900,20300
281,30000,5600,14600,9500,18200
282,26900,4600,13100,8900,18300
283,26600,4900,12800,9200,18600
284,24200,5000,12500,8200,16800
285,26200,10300,13900,9100,24600
286,26300,4600,13100,8200,23100
287,27300,4500,12500,8500,16300
288,27300,8700,14100,8700,17800
289,26300,4600,12600,7800,18200
290,31000,4400,12100,8500,16800
291,26700,4600,12900,7500,15700
292,22600,3600,10500,7100,11900
293,22600,3800,10700,7700,12300
294,21400,3400,10400,6700,12700
295,20900,3700,10200,7200,12300
296,25500,3700,10000,7400,12200
297,22100,3600,11000,7200,11800
298,22000,3500,10100,7000,11700
299,21500,3800,11000,6900,12000
300,23100,3600,10200,6700,12200
301,23500,3500,10600,6900,11800
302,29500,3600,10700,7000,11800
303,23400,3600,10400,6600,11500
304,23200,3600,10400,6600,12200
305,22900,3800,10300,6700,11700
306,22900,3600,10800,7100,11600
307,23200,3500,11400,6800,11100
308,23800,3800,11900,8400,16300
309,24800,3700,10400,7200,11800
310,22800,3400,11300,7200,11600
311,22300,3800,10400,6900,11800
312,22000,3700,10700,6800,11400
313,20900,3700,10300,6900,11600
314,22400,3600,10500,6800,12500
315,27400,4400,12100,8700,16900
316,28000,4700,13700,9000,17700
317,26800,5200,14200,9200,18700
318,27300,4800,15400,9000,13100
319,23000,3900,10800,7200,12100
320,28800,35800,15200,10500,24800
321,28100,5300,15600,9300,19800
322,28100,4800,15100,8700,20300
323,28400,5200,14200,9100,19900
324,27300,12400,15500,8800,18900
325,28800,5100,15600,9300,22600
326,28400,5000,15100,9200,19100
327,31100,5000,15200,9100,19400
328,27500,5000,15200,9700,19500
329,27600,4900,15000,9300,18300
330,28900,4800,15700,9400,21500
331,28000,5000,15100,8900,19000
332,27900,4700,14600,9500,18800
333,26200,5000,13500,16300,19300
334,27500,5300,15200,9000,17900
335,28100,5600,14900,9000,18600
336,28400,5500,14900,9100,18900
337,27100,4900,14500,9000,18700
338,33700,5300,16500,9000,19800
339,28400,5500,14600,8700,19800
340,28400,4900,14300,9000,19500
341,28200,5200,15600,9600,18400
342,27500,4800,14600,9200,25500
343,27500,5200,15500,9100,18600
344,25900,4900,15500,8800,18600
345,28200,5400,14900,9200,19000
346,29100,4700,14500,8500,18400
347,27800,4900,21300,9100,18600
348,26600,5200,14300,8700,19300
349,28400,4500,13800,9700,18800
350,29200,5100,15400,9400,19100
351,27100,5000,13600,9500,18800
352,34000,5000,14900,9200,18600
353,25500,5600,16300,9300,19300
